C0401|UF40247396|20251114|14:59:11|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||6126|九二無鉛汽油|3.319|27.1|90|1|90|0|0|1|0.05|0|90|0|
C0401|UF40247397|20251114|15:00:19|16644008|正容加油站實業有限公司|0000000000|0000|07|0|3J0002|/6EZTYPZ|/6EZTYPZ|N||6350|九二無鉛汽油|5.92|27.1|160|1|160|0|0|1|0.05|0|160|0|
C0401|UF40247398|20251114|15:01:30|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||2198|九五無鉛汽油|5.579|28.6|160|1|160|0|0|1|0.05|0|160|0|
C0401|UF40247399|20251114|15:03:16|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||4712|九五無鉛汽油|3.437|28.6|98|1|98|0|0|1|0.05|0|98|0|
C0401|UF40239943|20251114|15:03:56|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||8373|超級柴油|37.021|25.7|951|1|951|0|0|1|0.05|0|951|0|4106
C0401|UF40247400|20251114|15:04:14|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||0942|九五無鉛汽油|2.26|28.6|65|1|65|0|0|1|0.05|0|65|0|
C0401|UF40247401|20251114|15:17:46|16644008|正容加油站實業有限公司|0000000000|0000|07|0|3J0002|/WGHN9AN|/WGHN9AN|N||2101|九五無鉛汽油|3.452|28.6|99|1|99|0|0|1|0.05|0|99|0|
C0401|UF40247402|20251114|15:20:59|16644008|正容加油站實業有限公司|28022878|28022878|07|0||||Y||8051|九五無鉛汽油|29.379|28.6|840|1|800|0|0|1|0.05|40|840|0|1357
C0401|UF40247403|20251114|15:21:38|16644008|正容加油站實業有限公司|0000000000|0000|07|0||||Y||8294|九二無鉛汽油|1.832|27.1|50|1|50|0|0|1|0.05|0|50|0|
C0401|UF40247404|20251114|15:22:55|16644008|正容加油站實業有限公司|0000000000|0000|07|0|3J0002|/K5PNGA4|/K5PNGA4|N||1916|九五無鉛汽油|3.482|28.6|100|1|100|0|0|1|0.05|0|100|0|
C0401|UF40247405|20251114|15:23:17|16644008|正容加油站實業有限公司|77045075|77045075|07|0||||Y||9974|九五無鉛汽油|3.675|28.6|105|1|100|0|0|1|0.05|5|105|0|
