Type,InvoiceNo,InvoiceDateTime,BuyerId,BuyerName,SalesAmount,Tax,Total,TaxType,ItemName,ItemCount,ItemPrice,ItemAmount,legacyType,rawLine
INV,YD19482175,20200108T00:10:08,0000000000,久井企業股份有限公司,81,4.05,85.05,1,95Plus無鉛,2.78,29.1,81,C0401,C0401|YD19482175|20200108|00:10:08|16216982|久井企業股份有限公司|0000000000|0000|07|0||||Y||2634|95Plus無鉛|2.78|29.1|81|1|81|0|0|1|0.05|0|81|0|8289
INV,YD19482176,20200108T00:48:44,0000000000,久井企業股份有限公司,30,1.5,31.5,1,95Plus無鉛,1.02,29.1,30,C0401,C0401|YD19482176|20200108|00:48:44|16216982|久井企業股份有限公司|0000000000|0000|07|0||||Y||0778|95Plus無鉛|1.02|29.1|30|1|30|0|0|1|0.05|0|30|0|
INV,YD19482177,20200108T00:53:14,43211700,久井企業股份有限公司,500,25.0,525.0,1,柴油,20.47,25.4,500,C0401,C0401|YD19482177|20200108|00:53:14|16216982|久井企業股份有限公司|43211700|43211700|07|0||||Y||8812|柴油|20.47|25.4|500|1|476|0|0|1|0.05|24|500|20|
